team_id,code,hex_bg,hex_text,hex_ol,team_name,status,league,division,w,l,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,x,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12p,13p,14p,15p,16p,17p,18p,19p,20p,21p,22p,23p,24p,25p,26p,27p,28p,29p,30p,31p,32p,33p,xp,1avg,2avg,3avg,4avg,5avg,6avg,7avg,8avg,9avg,10avg,11avg,12avg,13avg,14avg,15avg,16avg,17avg,18avg,19avg,20avg,21avg,22avg,23avg,24avg,25avg,26avg,27avg,28avg,29avg,30avg,31avg,32avg,33avg,xavg,runs,runs_adj,center_of_gravity
110,bal,000000,FF3400,FFFFFF,Baltimore Orioles,Home,American,East,10,11,9.0,7.0,8.0,14.0,18.0,12.0,19.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.42857142857142855,0.3333333333333333,0.38095238095238093,0.6666666666666666,0.8571428571428571,0.5714285714285714,0.9047619047619048,0.2857142857142857,0.5454545454545454,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,99.0,500.0,5.05050505050505
110,bal,000000,FF3400,FFFFFF,Baltimore Orioles,Away,American,East,8,12,8.0,4.0,6.0,10.0,10.0,12.0,5.0,14.0,7.0,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,6.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,0.4,0.2,0.3,0.5,0.5,0.6,0.25,0.7,0.35,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,2.0,82.0,477.0,5.817073170731708
110,bal,000000,FF3400,FFFFFF,Baltimore Orioles,Total,American,East,18,23,17.0,11.0,14.0,24.0,28.0,24.0,24.0,20.0,13.0,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,6.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,31.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,0.4146341463414634,0.2682926829268293,0.34146341463414637,0.5853658536585366,0.6829268292682927,0.5853658536585366,0.5853658536585366,0.4878048780487805,0.41935483870967744,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,1.5,181.0,977.0,5.397790055248619
111,bos,092341,CA0729,FFFFFF,Boston Red Sox,Home,American,East,7,12,2.0,7.0,14.0,4.0,4.0,8.0,9.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.10526315789473684,0.3684210526315789,0.7368421052631579,0.21052631578947367,0.21052631578947367,0.42105263157894735,0.47368421052631576,0.21052631578947367,0.23076923076923078,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,56.0,274.0,4.892857142857143
111,bos,092341,CA0729,FFFFFF,Boston Red Sox,Away,American,East,10,11,7.0,6.0,16.0,18.0,12.0,7.0,10.0,3.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,0.3333333333333333,0.2857142857142857,0.7619047619047619,0.8571428571428571,0.5714285714285714,0.3333333333333333,0.47619047619047616,0.14285714285714285,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,524.0,5.24
111,bos,092341,CA0729,FFFFFF,Boston Red Sox,Total,American,East,17,23,9.0,13.0,30.0,22.0,16.0,15.0,19.0,7.0,24.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,34.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,0.225,0.325,0.75,0.55,0.4,0.375,0.475,0.175,0.7058823529411765,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,0.25,156.0,798.0,5.115384615384615
147,nyy,002144,FFFFFF,,New York Yankees,Home,American,East,14,6,20.0,15.0,13.0,6.0,9.0,21.0,11.0,29.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.75,0.65,0.3,0.45,1.05,0.55,1.45,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,656.0,5.00763358778626
147,nyy,002144,FFFFFF,,New York Yankees,Away,American,East,12,9,14.0,9.0,7.0,3.0,5.0,16.0,14.0,5.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.23809523809523808,0.7619047619047619,0.6666666666666666,0.23809523809523808,0.42857142857142855,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,84.0,425.0,5.059523809523809
147,nyy,002144,FFFFFF,,New York Yankees,Total,American,East,26,15,34.0,24.0,20.0,9.0,14.0,37.0,25.0,34.0,16.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,29.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.8292682926829268,0.5853658536585366,0.4878048780487805,0.21951219512195122,0.34146341463414637,0.9024390243902439,0.6097560975609756,0.8292682926829268,0.5517241379310345,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,215.0,1081.0,5.027906976744186
139,tb,041E42,FFFFFF,69B3E7,Tampa Bay Rays,Home,American,East,14,4,8.0,11.0,9.0,8.0,4.0,9.0,9.0,11.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.4444444444444444,0.6111111111111112,0.5,0.4444444444444444,0.2222222222222222,0.5,0.5,0.6111111111111112,0.6666666666666666,1.5,,,,,,,,,,,,,,,,,,,,,,,,1.5,76.0,380.0,5.0
139,tb,041E42,FFFFFF,69B3E7,Tampa Bay Rays,Away,American,East,12,9,8.0,9.0,7.0,6.0,14.0,14.0,9.0,8.0,13.0,4.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,7.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,6.0,0.38095238095238093,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.38095238095238093,0.6190476190476191,1.3333333333333333,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,1.1666666666666667,95.0,546.0,5.747368421052632
139,tb,041E42,FFFFFF,69B3E7,Tampa Bay Rays,Total,American,East,26,13,16.0,20.0,16.0,14.0,18.0,23.0,18.0,19.0,17.0,7.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,10.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,27.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,8.0,0.41025641025641024,0.5128205128205128,0.41025641025641024,0.358974358974359,0.46153846153846156,0.5897435897435898,0.46153846153846156,0.48717948717948717,0.6296296296296297,1.4,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,1.25,171.0,926.0,5.415204678362573
141,tor,003DA5,FFFFFF,041E42,Toronto Blue Jays,Home,American,East,12,9,10.0,1.0,13.0,10.0,17.0,11.0,11.0,12.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,11.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,0.47619047619047616,0.047619047619047616,0.6190476190476191,0.47619047619047616,0.8095238095238095,0.5238095238095238,0.5238095238095238,0.5714285714285714,0.5454545454545454,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,93.0,490.0,5.268817204301075
141,tor,003DA5,FFFFFF,041E42,Toronto Blue Jays,Away,American,East,6,13,11.0,6.0,5.0,5.0,4.0,9.0,6.0,15.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5789473684210527,0.3157894736842105,0.2631578947368421,0.2631578947368421,0.21052631578947367,0.47368421052631576,0.3157894736842105,0.7894736842105263,0.3157894736842105,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,71.0,388.0,5.464788732394366
